取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-05 13:46:55,0,09/05,13:40,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,13:30,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,13:20,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,13:10,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,13:00,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:50,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:40,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:30,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:20,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:10,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,12:00,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:50,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:40,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:30,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:20,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:10,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,11:00,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,10:50,0.18 →,--,--
2026-09-05 13:46:55,0,09/05,10:40,0.18 ↓,--,--
2026-09-05 13:46:55,0,09/05,10:30,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,10:20,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,10:10,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,10:00,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:50,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:40,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:30,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:20,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:10,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,09:00,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,08:50,0.19 →,--,--
2026-09-05 13:46:55,0,09/05,08:40,0.19 ↓,--,--
2026-09-05 13:46:55,0,09/05,08:30,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,08:20,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,08:10,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,08:00,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:50,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:40,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:30,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:20,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:10,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,07:00,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,06:50,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,06:40,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,06:30,0.20 →,--,--
2026-09-05 13:46:55,0,09/05,06:20,0.20 ↓,--,--
2026-09-05 13:46:55,0,09/05,06:10,0.21 →,--,--
2026-09-05 13:46:55,0,09/05,06:00,0.21 →,--,--
2026-09-05 13:46:55,0,09/05,05:50,0.21 →,--,--
2026-09-05 13:46:55,0,09/05,05:40,0.21 →,--,--
2026-09-05 13:46:55,0,09/05,05:30,0.21 →,--,--
2026-09-05 13:30:45,0,09/05,05:20,0.21 →,--,--
2026-09-05 13:30:45,0,09/05,05:10,0.21 →,--,--
2026-09-05 13:16:05,0,09/05,05:00,0.21 →,--,--
2026-09-05 12:58:00,0,09/05,04:50,0.21 →,--,--
2026-09-05 12:58:00,0,09/05,04:40,0.21 →,--,--
2026-09-05 12:47:01,0,09/05,04:30,0.21 ↓,--,--
2026-09-05 12:32:05,0,09/05,04:20,0.22 →,--,--
2026-09-05 12:32:05,0,09/05,04:10,0.22 →,--,--
2026-09-05 12:17:01,0,09/05,04:00,0.22 →,--,--
2026-09-05 11:58:22,0,09/05,03:50,0.22 →,--,--
2026-09-05 11:58:22,0,09/05,03:40,0.22 →,--,--
2026-09-05 11:47:43,0,09/05,03:30,0.22 →,--,--
2026-09-05 11:30:33,0,09/05,03:20,0.22 →,--,--
2026-09-05 11:30:33,0,09/05,03:10,0.22 →,--,--
2026-09-05 11:13:32,0,09/05,03:00,0.22 →,--,--
2026-09-05 10:50:39,0,09/05,02:50,0.22 ↑,--,--
2026-09-05 10:50:39,0,09/05,02:40,0.21 →,--,--
2026-09-05 10:50:39,0,09/05,02:30,0.21 →,--,--
2026-09-05 10:39:08,0,09/05,02:20,0.21 ↑,--,--
2026-09-05 10:24:30,0,09/05,02:10,0.20 →,--,--
2026-09-05 10:10:11,0,09/05,02:00,0.20 ↓,--,--
2026-09-05 10:10:11,0,09/05,01:50,0.21 →,--,--
2026-09-05 09:51:56,0,09/05,01:40,0.21 →,--,--
2026-09-05 09:51:56,0,09/05,01:30,0.21 ↓,--,--
2026-09-05 09:31:52,0,09/05,01:20,0.22 →,--,--
2026-09-05 09:31:52,0,09/05,01:10,0.22 →,--,--
2026-09-05 09:01:10,0,09/05,01:00,0.22 ↓,--,--
2026-09-05 09:01:10,0,09/05,00:50,0.23 →,--,--
2026-09-05 09:01:10,0,09/05,00:40,0.23 →,--,--
2026-09-05 08:49:45,0,09/05,00:30,0.23 →,--,--
2026-09-05 08:39:02,0,09/05,00:20,0.23 →,--,--
2026-09-05 08:27:30,0,09/05,00:10,0.23 →,--,--
2026-09-05 08:12:49,0,09/04,24:00,0.23 →,--,--
2026-09-05 08:12:49,0,09/04,23:50,0.23 →,--,--
2026-09-05 07:56:31,0,09/04,23:40,0.23 →,--,--
2026-09-05 07:42:03,0,09/04,23:30,0.23 →,--,--
2026-09-05 07:42:03,0,09/04,23:20,0.23 →,--,--
2026-09-05 07:29:17,0,09/04,23:10,0.23 →,--,--
2026-09-05 07:13:37,0,09/04,23:00,0.23 →,--,--
2026-09-05 06:56:44,0,09/04,22:50,0.23 →,--,--
2026-09-05 06:56:44,0,09/04,22:40,0.23 →,--,--
