取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026/9/2 13:34,0,8月30日,0:00,0.68 ↓,--,--
2026/9/2 13:34,0,8月30日,23:00,0.69 ↓,--,--
2026/9/2 13:34,0,8月30日,22:00,0.76 ↓,--,--
2026/9/2 13:34,0,8月30日,21:00,0.77 ↓,--,--
2026/9/2 13:34,0,8月30日,20:00,0.83 ↓,--,--
2026/9/2 13:34,0,8月30日,19:00,0.87 ↓,--,--
2026/9/2 13:34,0,8月30日,18:00,0.95 ↓,--,--
2026/9/2 13:34,0,8月30日,17:00,0.97 ↓,--,--
2026/9/2 13:34,0,8月30日,16:00,1.03 ↓,--,--
2026/9/2 13:34,0,8月30日,15:00,1.12 ↓,--,--
2026/9/2 13:34,0,8月30日,14:00,1.21 ↓,--,--
2026/9/2 13:34,0,8月30日,13:00,1.32 ↓,--,--
2026/9/2 13:34,0,8月30日,12:00,1.45 ↓,--,--
2026/9/2 13:34,0,8月30日,11:00,1.59 ↓,--,--
2026/9/2 13:34,0,8月30日,10:00,1.69 ↑,--,--
2026/9/2 13:34,0,8月30日,9:00,1.58 ↑,--,--
2026/9/2 13:34,0,8月30日,8:00,1.51 ↑,--,--
2026/9/2 13:34,0,8月30日,7:00,1.31 ↑,--,--
2026/9/2 13:34,0,8月30日,6:00,1.19 ↑,--,--
2026/9/2 13:34,0,8月30日,5:00,1.13 ↓,--,--
2026/9/2 13:34,0,8月30日,4:00,1.16 ↓,--,--
2026/9/2 13:34,0,8月30日,3:00,1.26 ↓,--,--
2026/9/2 13:34,0,8月30日,2:00,1.38 ↓,--,--
2026/9/2 13:34,0,8月30日,1:00,1.6 ↓,--,--
2026/9/2 13:34,0,8月29日,0:00,1.86 ↑,--,--
2026/9/2 13:34,0,8月29日,23:00,1.93 ↑,--,--
2026/9/2 13:34,0,8月29日,22:00,1.92 ↑,--,--
2026/9/2 13:34,0,8月29日,21:00,1.47 ↑,--,--
2026/9/2 13:34,0,8月29日,20:00,1.38 ↓,--,--
2026/9/2 13:34,0,8月29日,19:00,1.44 ↓,--,--
2026/9/2 13:34,0,8月29日,18:00,1.62 ↓,--,--
2026/9/2 13:34,0,8月29日,17:00,1.81 ↓,--,--
2026/9/2 13:34,0,8月29日,16:00,2.08 ↑,--,--
2026/9/2 13:34,0,8月29日,15:00,1.68 ↓,--,--
2026/9/2 13:34,0,8月29日,14:00,1.85 ↑,--,--
2026/9/2 13:34,0,8月29日,13:00,1.47 ↑,--,--
2026/9/2 13:34,0,8月29日,12:00,0.84 ↓,--,--
2026/9/2 13:34,0,8月29日,11:00,1.07 ↑,--,--
2026/9/2 13:34,0,8月29日,10:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,9:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,8:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,7:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,6:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,5:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,4:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,3:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,2:00,0.58 →,--,--
2026/9/2 13:34,0,8月29日,1:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,0:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,23:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,22:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,21:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,20:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,19:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,18:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,17:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,16:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,15:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,14:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,13:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,12:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,11:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,10:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,9:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,8:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,7:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,6:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,5:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,4:00,0.58 →,--,--
2026/9/2 13:34,0,8月28日,3:00,0.58 →,--,--
