取得日時,テーブル番号,日付,時刻,堤防天端からの高さ[m]
2026-09-12 00:57:20,0,09/11,19:00,-5.91
2026-09-12 00:57:20,0,09/11,13:00,-5.76
2026-09-12 00:57:20,0,09/11,07:00,-5.93
2026-09-12 00:57:20,0,09/11,01:00,-5.91
2026-09-12 00:57:20,0,09/10,19:00,-5.83
2026-09-12 00:57:20,0,09/10,13:00,-5.76
2026-09-12 00:57:20,0,09/10,07:00,-5.66
2026-09-12 00:57:20,0,09/10,01:00,-5.43
2026-09-12 00:57:20,0,09/09,19:00,-4.82
2026-09-12 00:57:20,0,09/09,13:00,-5.10
2026-09-12 00:57:20,0,09/09,09:20,-4.38
2026-09-12 00:57:20,0,09/09,09:10,-4.37
2026-09-12 00:57:20,0,09/09,09:00,-4.35
2026-09-12 00:57:20,0,09/09,08:50,-4.37
2026-09-12 00:57:20,0,09/09,08:40,-4.33
2026-09-12 00:57:20,0,09/09,08:30,-4.33
2026-09-12 00:57:20,0,09/09,08:20,-4.28
2026-09-12 00:57:20,0,09/09,08:10,-4.31
2026-09-12 00:57:20,0,09/09,08:00,-4.28
2026-09-12 00:57:20,0,09/09,07:50,-4.23
2026-09-12 00:57:20,0,09/09,07:40,-4.22
2026-09-12 00:57:20,0,09/09,07:30,-4.20
2026-09-12 00:57:20,0,09/09,07:00,-4.60
2026-09-12 00:57:20,0,09/09,01:00,-5.64
2026-09-12 00:57:20,0,09/08,19:00,-5.49
2026-09-12 00:57:20,0,09/08,13:00,-5.78
2026-09-12 00:57:20,0,09/08,07:00,-6.40
2026-09-12 00:57:20,0,09/08,01:00,-6.46
2026-09-12 00:57:20,0,09/07,19:00,-6.41
2026-09-12 00:57:20,0,09/07,13:00,-6.44
2026-09-12 00:57:20,0,09/07,07:00,-6.44
2026-09-12 00:57:20,0,09/07,01:00,-6.44
