取得日時,テーブル番号,日付,時刻,堤防天端からの高さ[m]
2026-09-25 17:51:10,0,09/25,13:00,-6.50
2026-09-25 17:51:10,0,09/25,07:00,-6.51
2026-09-25 17:51:10,0,09/25,01:00,-6.51
2026-09-25 17:51:10,0,09/24,19:00,-6.50
2026-09-25 17:51:10,0,09/24,13:00,-6.44
2026-09-25 17:51:10,0,09/24,07:00,-6.45
2026-09-25 17:51:10,0,09/24,01:00,-6.50
2026-09-25 17:51:10,0,09/23,19:00,-6.50
2026-09-25 17:51:10,0,09/23,13:00,-6.49
2026-09-25 17:51:10,0,09/23,07:00,-6.50
2026-09-25 17:51:10,0,09/23,01:00,-6.49
2026-09-25 17:51:10,0,09/22,19:00,-6.47
2026-09-25 17:51:10,0,09/22,13:00,-6.43
2026-09-25 17:51:10,0,09/22,07:00,-6.40
2026-09-25 17:51:10,0,09/22,01:00,-6.41
2026-09-25 17:51:10,0,09/21,19:00,-6.41
2026-09-25 17:51:10,0,09/21,13:00,-6.39
2026-09-25 17:51:10,0,09/21,07:00,-6.39
2026-09-25 17:51:10,0,09/21,01:00,-6.39
