取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-21 11:00:18,0,09/21,10:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,10:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,10:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,10:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,10:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,10:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,09:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,08:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,07:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,06:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,05:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,04:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:40,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:30,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:20,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:10,0.61,--,--
2026-09-21 11:00:18,0,09/21,03:00,0.61,--,--
2026-09-21 11:00:18,0,09/21,02:50,0.61,--,--
2026-09-21 11:00:18,0,09/21,02:40,0.61,--,--
2026-09-21 10:49:02,0,09/21,02:30,0.61,--,--
2026-09-21 10:31:49,0,09/21,02:20,0.61,--,--
2026-09-21 10:31:49,0,09/21,02:10,0.61,--,--
2026-09-21 10:12:43,0,09/21,02:00,0.61,--,--
2026-09-21 09:56:07,0,09/21,01:50,0.61,--,--
2026-09-21 09:56:07,0,09/21,01:40,0.61,--,--
2026-09-21 09:40:10,0,09/21,01:30,0.61,--,--
2026-09-21 09:40:10,0,09/21,01:20,0.61,--,--
2026-09-21 09:19:41,0,09/21,01:10,0.61,--,--
2026-09-21 09:19:41,0,09/21,01:00,0.61,--,--
2026-09-21 08:56:24,0,09/21,00:50,0.61,--,--
2026-09-21 08:56:24,0,09/21,00:40,0.61,--,--
2026-09-21 08:42:27,0,09/21,00:30,0.61,--,--
2026-09-21 08:28:52,0,09/21,00:20,0.61,--,--
2026-09-21 08:28:52,0,09/21,00:10,0.61,--,--
