取得日時,テーブル番号,日付,時刻,水位[m],10分雨量[mm],降り始めからの雨量[mm]
2026-09-13 01:14:23,0,09/13,01:10,--,--,--
2026-09-13 01:14:23,0,09/13,01:00,0.59,--,--
2026-09-13 01:14:23,0,09/13,00:50,0.59,--,--
2026-09-13 01:14:23,0,09/13,00:40,0.59,--,--
2026-09-13 01:14:23,0,09/13,00:30,0.59,--,--
2026-09-13 01:14:23,0,09/13,00:20,0.59,--,--
2026-09-13 01:14:23,0,09/13,00:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,24:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,23:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,22:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,21:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,20:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,19:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,18:00,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:50,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:40,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:30,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:20,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:10,0.59,--,--
2026-09-13 01:14:23,0,09/12,17:00,0.59,--,--
2026-09-13 00:56:29,0,09/12,16:50,0.59,--,--
2026-09-13 00:56:29,0,09/12,16:40,0.59,--,--
2026-09-13 00:42:14,0,09/12,16:30,0.59,--,--
2026-09-13 00:42:14,0,09/12,16:20,0.59,--,--
2026-09-13 00:29:34,0,09/12,16:10,0.59,--,--
2026-09-13 00:12:43,0,09/12,16:00,0.59,--,--
2026-09-12 23:56:18,0,09/12,15:50,0.59,--,--
2026-09-12 23:56:18,0,09/12,15:40,0.59,--,--
2026-09-12 23:44:16,0,09/12,15:30,0.59,--,--
2026-09-12 23:30:28,0,09/12,15:20,0.59,--,--
2026-09-12 23:30:28,0,09/12,15:10,0.59,--,--
2026-09-12 23:12:53,0,09/12,15:00,0.59,--,--
2026-09-12 22:56:27,0,09/12,14:50,0.59,--,--
2026-09-12 22:56:27,0,09/12,14:40,0.59,--,--
2026-09-12 22:42:07,0,09/12,14:30,0.59,--,--
2026-09-12 22:42:07,0,09/12,14:20,0.59,--,--
2026-09-12 22:29:02,0,09/12,14:10,0.59,--,--
2026-09-12 22:11:05,0,09/12,14:00,0.59,--,--
2026-09-12 22:11:05,0,09/12,13:50,0.59,--,--
2026-09-12 21:50:59,0,09/12,13:40,0.59,--,--
2026-09-12 21:50:59,0,09/12,13:30,0.59,--,--
2026-09-12 21:35:42,0,09/12,13:20,0.59,--,--
2026-09-12 21:17:39,0,09/12,13:10,0.59,--,--
2026-09-12 21:17:39,0,09/12,13:00,0.59,--,--
2026-09-12 20:56:25,0,09/12,12:50,0.59,--,--
2026-09-12 20:56:25,0,09/12,12:40,0.59,--,--
2026-09-12 20:41:35,0,09/12,12:30,0.59,--,--
2026-09-12 20:41:35,0,09/12,12:20,0.59,--,--
2026-09-12 20:28:48,0,09/12,12:10,0.59,--,--
2026-09-12 20:12:19,0,09/12,12:00,0.59,--,--
2026-09-12 20:12:19,0,09/12,11:50,0.59,--,--
2026-09-12 19:56:25,0,09/12,11:40,0.59,--,--
2026-09-12 19:43:04,0,09/12,11:30,0.59,--,--
2026-09-12 19:30:05,0,09/12,11:20,0.59,--,--
2026-09-12 19:30:05,0,09/12,11:10,0.59,--,--
2026-09-12 19:15:51,0,09/12,11:00,0.59,--,--
2026-09-12 18:57:35,0,09/12,10:50,0.59,--,--
2026-09-12 18:57:35,0,09/12,10:40,0.59,--,--
2026-09-12 18:46:37,0,09/12,10:30,0.59,--,--
2026-09-12 18:31:41,0,09/12,10:20,0.59,--,--
2026-09-12 18:31:41,0,09/12,10:10,0.59,--,--
2026-09-12 18:17:46,0,09/12,10:00,0.59,--,--
2026-09-12 17:59:30,0,09/12,09:50,0.59,--,--
2026-09-12 17:59:30,0,09/12,09:40,0.59,--,--
2026-09-12 17:48:45,0,09/12,09:30,0.59,--,--
2026-09-12 17:30:47,0,09/12,09:20,0.59,--,--
2026-09-12 17:30:47,0,09/12,09:10,0.59,--,--
2026-09-12 17:13:46,0,09/12,09:00,0.59,--,--
2026-09-12 16:56:25,0,09/12,08:50,0.59,--,--
2026-09-12 16:56:25,0,09/12,08:40,0.59,--,--
2026-09-12 16:42:12,0,09/12,08:30,0.59,--,--
2026-09-12 16:42:12,0,09/12,08:20,0.59,--,--
2026-09-12 16:29:12,0,09/12,08:10,0.59,--,--
2026-09-12 16:10:41,0,09/12,08:00,0.59,--,--
2026-09-12 16:10:41,0,09/12,07:50,0.59,--,--
2026-09-12 15:52:34,0,09/12,07:40,0.59,--,--
2026-09-12 15:37:40,0,09/12,07:30,0.59,--,--
2026-09-12 15:37:40,0,09/12,07:20,0.59,--,--
2026-09-12 15:20:19,0,09/12,07:10,0.59,--,--
2026-09-12 15:20:19,0,09/12,07:00,0.59,--,--
2026-09-12 14:57:39,0,09/12,06:50,0.59,--,--
2026-09-12 14:57:39,0,09/12,06:40,0.59,--,--
2026-09-12 14:46:49,0,09/12,06:30,0.59,--,--
2026-09-12 14:31:08,0,09/12,06:20,0.59,--,--
2026-09-12 14:31:08,0,09/12,06:10,0.59,--,--
2026-09-12 14:16:49,0,09/12,06:00,0.59,--,--
2026-09-12 13:59:07,0,09/12,05:50,0.59,--,--
2026-09-12 13:59:07,0,09/12,05:40,0.59,--,--
2026-09-12 13:48:27,0,09/12,05:30,0.59,--,--
2026-09-12 13:33:03,0,09/12,05:20,0.59,--,--
2026-09-12 13:18:02,0,09/12,05:10,0.59,--,--
2026-09-12 13:18:02,0,09/12,05:00,0.59,--,--
2026-09-12 12:59:26,0,09/12,04:50,0.59,--,--
2026-09-12 12:59:26,0,09/12,04:40,0.59,--,--
2026-09-12 12:48:20,0,09/12,04:30,0.59,--,--
2026-09-12 12:33:47,0,09/12,04:20,0.59,--,--
2026-09-12 12:17:54,0,09/12,04:10,0.59,--,--
2026-09-12 12:17:54,0,09/12,04:00,0.59,--,--
2026-09-12 11:59:26,0,09/12,03:50,0.59,--,--
2026-09-12 11:59:26,0,09/12,03:40,0.59,--,--
2026-09-12 11:48:53,0,09/12,03:30,0.59,--,--
2026-09-12 11:31:43,0,09/12,03:20,0.59,--,--
2026-09-12 11:31:43,0,09/12,03:10,0.59,--,--
2026-09-12 11:12:31,0,09/12,03:00,0.59,--,--
2026-09-12 11:12:31,0,09/12,02:50,0.59,--,--
2026-09-12 10:52:06,0,09/12,02:40,0.59,--,--
2026-09-12 10:52:06,0,09/12,02:30,0.59,--,--
2026-09-12 10:39:41,0,09/12,02:20,0.59,--,--
2026-09-12 10:24:56,0,09/12,02:10,0.59,--,--
2026-09-12 10:10:17,0,09/12,02:00,0.59,--,--
2026-09-12 10:10:17,0,09/12,01:50,0.59,--,--
